reader_id,name,ref
0x7,松山機場,BR13
0x8,中山國中,BR12
0x9,南京復興,"G16,BR11"
0xa,忠孝復興,"BL15,BR10"
0xb,大安,"R05,BR09"
0xc,科技大樓,BR08
0xd,六張犁,BR07
0xe,麟光,BR06
0xf,辛亥,BR05
0x10,萬芳醫院,BR04
0x11,萬芳社區,BR03
0x12,木柵,BR02
0x13,動物園,BR01
0x15,大直,BR14
0x16,劍南路,BR15
0x17,西湖,BR16
0x18,港墘,BR17
0x19,文德,BR18
0x1a,內湖,BR19
0x1b,大湖公園,BR20
0x1c,葫洲,BR21
0x1d,東湖,BR22
0x1e,南港軟體園區,BR23
0x1f,南港展覽館,"BL23,BR24"
0x20,小碧潭,G03A
0x21,新店,G01
0x22,新店區公所,G02
0x23,七張,G03
0x24,大坪林,G04
0x25,景美,G05
0x26,萬隆,G06
0x27,公館,G07
0x28,台電大樓,G08
0x29,古亭,"G09,O05"
0x2a,中正紀念堂,"G10,R08"
0x2b,小南門,G11
0x2d,頂溪,O04
0x2e,永安市場,O03
0x2f,景安,O02
0x30,南勢角,O01
0x32,台大醫院,R09
0x33,台北車站,"BL12,R10"
0x35,中山,"G14,R11"
0x36,雙連,R12
0x37,民權西路,"O11,R13"
0x38,圓山,R14
0x39,劍潭,R15
0x3a,士林,R16
0x3b,芝山,R17
0x3c,明德,R18
0x3d,石牌,R19
0x3e,唭哩岸,R20
0x3f,奇岩,R21
0x40,北投,R22
0x41,新北投,R22A
0x42,復興崗,R23
0x43,忠義,R24
0x44,關渡,R25
0x45,竹圍,R26
0x46,紅樹林,R27
0x47,淡水,R28
0x4c,頂埔,BL01
0x4d,永寧,BL02
0x4e,土城,BL03
0x4f,海山,BL04
0x50,亞東醫院,BL05
0x51,府中,BL06
0x52,板橋,BL07
0x53,新埔,BL08
0x54,江子翠,BL09
0x55,龍山寺,BL10
0x56,西門,"BL11,G12"
0x58,善導寺,BL13
0x59,忠孝新生,"BL14,O07"
0x5b,忠孝敦化,BL16
0x5c,國父紀念館,BL17
0x5d,市政府,BL18
0x5e,永春,BL19
0x5f,後山埤,BL20
0x60,昆陽,BL21
0x61,南港,BL22
0x63,象山,R02
0x64,台北101/世貿,R03
0x65,信義安和,R04
0x67,大安森林公園,R06
0x69,北門,G13
0x6d,台北小巨蛋,G17
0x6e,南京三民,G18
0x6f,松山,G19
0x79,輔大,O19
0x7a,新莊,O18
0x7b,頭前庄,O17
0x7c,先嗇宮,O16
0x7d,三重,O15
0x7e,菜寮,O14
0x7f,台北橋,O13
0x80,大橋頭,O12
0x82,中山國小,O10
0x83,行天宮,O09
0x84,松江南京,"G15,O08"
0x86,東門,"R07,O06"
0xae,蘆洲,O54
0xaf,三民高中,O53
0xb0,徐匯中學,O52
0xb1,三和國中,O51
0xb2,三重國小,O50
0xb3,迴龍,O21
0xb4,丹鳳,O20
