reader_id,stop_code,stop_id,comment
0x4,,place_forsta,
0x5,,place_censta,
0x6,,place_sousta,
0x9,,place_domsta,
0xa,,place_intsta,
0x14,,place_romsta,
0x16,,place_sbasta,
0x3a,,place_bowsta,
0x3b,,place_albsta,unconfirmed
0x3c,,place_wolsta,
0x3d,,place_egjsta,unconfirmed
0x3e,,place_tomsta,
0x3f,,place_nunsta,
0x40,,place_norsta,unconfirmed
0x56,,place_parsta,
0x57,,place_dupsta,unconfirmed
0x58,,place_faista,
0x59,,place_yersta,unconfirmed
0x5a,,place_yeesta,unconfirmed
0x5b,,place_moosta,unconfirmed
0x5c,,place_rocsta,unconfirmed
0x5d,,place_slysta,unconfirmed
0x5e,,place_cppsta,unconfirmed
0x5f,,place_bansta,unconfirmed
0x60,,place_sunsta,unconfirmed
0x61,,place_altsta,
0x62,,place_runsta,unconfirmed
0x63,,place_frusta,unconfirmed
0x64,,place_kursta,unconfirmed
0x65,,place_trista,unconfirmed
0x66,,place_wdrsta,unconfirmed
0x67,,place_kgtsta,unconfirmed
0x68,,place_logsta,unconfirmed
0x69,,place_betsta,unconfirmed
0x6a,,place_edesta,unconfirmed
0x6b,,place_holsta,unconfirmed
0x6c,,place_beesta,unconfirmed
0x7f,,place_winsta,
0x83,,place_gaysta,
0xaa,,place_brdsta,unconfirmed
0xab,,place_coosta,
0xac,,place_npksta,unconfirmed
0xad,,place_mgssta,
0xae,,place_cansta,
0xaf,,place_mursta,unconfirmed
0xb0,,place_hemsta,unconfirmed
0xb1,,place_linsta,unconfirmed
0xb2,,place_wyhsta,unconfirmed
0xb3,,place_wnmsta,unconfirmed
0xb4,,place_wynsta,unconfirmed
0xb5,,place_mansta,unconfirmed
0xb6,,place_lotsta,unconfirmed
0xb7,,place_thosta,unconfirmed
0xb8,,place_birsta,unconfirmed
0xb9,,place_welsta,unconfirmed
0xba,,place_ormsta,unconfirmed
0xbb,,place_clesta,unconfirmed
0xc2,317588,,
0x1ef,000021,,
0x1f2,000025,,
0x266,000229,,
0x31b,000738,,
0x3cc,001061,,
0x3dd,001077,,
0x3de,001078,,unconfirmed
0x3df,001080,,unconfirmed
0x3e0,001081,,unconfirmed
0x3e1,001082,,unconfirmed
0x3e2,001083,,
0x3e7,001087,,
0x405,001139,,
0x410,001159,,
0x411,001160,,unconfirmed
0x412,001161,,unconfirmed
0x413,001162,,
0x414,001163,,unconfirmed
0x415,001164,,unconfirmed
0x416,001165,,unconfirmed
0x417,001167,,unconfirmed
0x418,001168,,unconfirmed
0x419,001169,,unconfirmed
0x41a,001170,,unconfirmed
0x41b,001171,,unconfirmed
0x41c,001172,,unconfirmed
0x41d,001174,,unconfirmed
0x41e,001175,,unconfirmed
0x41f,001176,,
0x420,001178,,
0x61d,,place_UQLAKE,todo: change to platform number
0x977,002944,,
0x978,002945,,unconfirmed
0x979,002946,,
0x9d5,003047,,
0xbbb,003716,,
0xfa6,005031,,
0x162e,010487,,
0x1b35,019064,,
0x1b36,011168,,
0x1b3c,010814,,TODO Buranda busway ? platform
0x1cdd,010802,,
0x256b,003741,,
0x256e,003748,,
0x32c9,010790,,
0x32ca,010787,,
0x32cb,010788,,
0x32e6,300008,,
0x333e,300050,,
0x3bab,000043,,
0x3bac,000044,,
0x3bc3,000470,,
0x40d9,319476,,
0x45e3,005603,,
0x4c39,319743,,
0x4ce3,010795,,
0x4ce4,010796,,
0x5131,001882,,UQ Lakes Arrivals. Also used for departures.
0x5999,000020,,
0x5a86,003944,,
0x5a88,003947,,
0x5ee6,319667,,
0x6e7b,,place_intsta,Ticket machine for pass sales
0x7007,019050,,
0x7187,011328,,"11328-2: Toombul bus interchange, route 590 (both directions)"
0x722e,061017,,
0x722f,061018,,
0x7241,600830,,unconfirmed
0x7242,600828,,unconfirmed
0x7243,600826,,unconfirmed
0x7244,600824,,unconfirmed
0x7245,600822,,unconfirmed
0x7246,600820,,unconfirmed
0x7247,600818,,unconfirmed
0x7248,600816,,unconfirmed
0x7249,600814,,unconfirmed
0x724a,600812,,
0x724b,600810,,
0x724c,600808,,
0x724d,600806,,unconfirmed
0x724e,600804,,unconfirmed
0x724f,600802,,
0x7250,600800,,
